,JDTimeTCB,sunPX,sunPY,sunPZ,earthPX,earthPY,earthPZ,scp1X,scp1Y,scp1Z,scv1X,scv1Y,scv1Z,scp2X,scp2Y,scp2Z,scv2X,scv2Y,scv2Z,scp3X,scp3Y,scp3Z,scv3X,scv3Y,scv3Z
840,2461874.0,0.0010512667076945119,-0.002561750124506362,-0.001066869429670158,-0.9237587218787559,-0.35766726278464006,-0.1549880769732958,-0.7610358659686857,-0.5924934026093299,-0.2614407359244114,0.01120570540585754,-0.01195274340233525,-0.005351914278574882,-0.7599079299176232,-0.6109690811090646,-0.2539235303662147,0.01118747381118438,-0.01186343079792314,-0.005129520843819737,-0.7474099165538655,-0.6054305821791464,-0.2684907002148235,0.01134376617934528,-0.01197694607201989,-0.0050372673360104215
841,2461874.025,0.001051312491540295,-0.002561627165155455,-0.0010668176752663368,-0.9235997018909764,-0.3580325409036814,-0.1551464281549343,-0.7607556525130532,-0.5927921663487087,-0.2615745095743353,0.01121137070392135,-0.01194835537260491,-0.005349977547300655,-0.7596281740838905,-0.6112656116977181,-0.2540517454535118,0.01119299254879642,-0.01185901593603855,-0.005127685985017313,-0.7471262526956128,-0.6057299496624503,-0.2686166069827723,0.01134934212286918,-0.01197245222498315,-0.005035273945513131
842,2461874.05,0.001051358268898825,-0.002561504204989691,-0.001066765920355189,-0.9234405126670716,-0.358397754622117,-0.1553047515042059,-0.7604752974505353,-0.5930908203591955,-0.2617082347933761,0.01121703395650859,-0.01194396509110683,-0.005348039807988754,-0.7593482803071191,-0.6115620318879547,-0.2541799146577205,0.01119850925412902,-0.01185459892472767,-0.005125850196806147,-0.7468424494656267,-0.6060292047720335,-0.268742463904382,0.01135491591784332,-0.01196795617449746,-0.005033279628951447
843,2461874.075,0.001051404039769981,-0.002561381244009379,-0.001066714164936776,-0.9232811542338716,-0.3587629038763409,-0.1554630469931168,-0.7601948008322825,-0.5933893645845059,-0.2618419115563373,0.011222695162530591,-0.011939572558633,-0.005346101060988547,-0.7590682486381279,-0.611858341626049,-0.2543080379556098,0.011204023926200771,-0.01185017976477992,-0.005124013479514375,-0.7465585069176337,-0.6063283474528204,-0.2688682709565058,0.01136048756324574,-0.01196345792143595,-0.005031284386712034
844,2461874.1,0.00105144980415364,-0.002561258282214829,-0.001066662409011161,-0.923121626618232,-0.3591279886027256,-0.1556213145936619,-0.7599141627094725,-0.5936877989683756,-0.261975539838031,0.01122835432089899,-0.01193517777597587,-0.005344161306649606,-0.758788079127761,-0.6121545408582949,-0.2544361153239567,0.01120953656403057,-0.01184575845698509,-0.005122175833470282,-0.7462744251053859,-0.6066273776497577,-0.2689940281160068,0.01136605705805488,-0.01195895746667215,-0.005029288219181717
845,2461874.125,0.001051495562049677,-0.0025611353196063518,-0.001066610652578406,-0.9229619298470358,-0.3594930087376222,-0.1557795542778249,-0.7596333831333104,-0.5939861234545598,-0.2621091196132782,0.011234011430525841,-0.01193078074392832,-0.005342220545321699,-0.7585077718268866,-0.6124506295310062,-0.2545641467395464,0.01121504716663772,-0.01184133500213334,-0.005120337259002321,-0.7459902040826611,-0.6069262953078138,-0.2691197353597574,0.01137162440124965,-0.01195445481108,-0.005027291126747493
846,2461874.15,0.001051541313457966,-0.002561012356184257,-0.001066558895638575,-0.922802063947194,-0.3598579642173607,-0.1559377660175781,-0.759352462155028,-0.5942843379868337,-0.2622426508569085,0.01123966649032351,-0.01192638146328371,-0.005340278777354797,-0.7582273267863975,-0.6127466075905161,-0.2546921321791726,0.01122055573304183,-0.0118369094010152,-0.005118497756439098,-0.7457058439032621,-0.6072251003719789,-0.2692453926646399,0.01137718959180937,-0.011949949955533841,-0.005025293109796528
847,2461874.175,0.0010515870583783788,-0.002560889391948852,-0.001066507138191727,-0.9226420289456448,-0.3602228549782498,-0.1560959497848828,-0.7590713998258852,-0.5945824425089923,-0.2623761335437602,0.01124531949920476,-0.0119219799348358,-0.005338336003099076,-0.757946744057211,-0.6130424749831779,-0.254820071619637,0.01122606226226288,-0.01183248165442157,-0.005116657326109383,-0.7454213446210177,-0.6075237927872648,-0.2693710000075461,0.01138275262871383,-0.01194544290090841,-0.005023294168716152
848,2461874.2,0.001051632796810785,-0.002560766426900446,-0.001066455380237924,-0.9224818248693542,-0.3605876809565772,-0.1562541055516891,-0.7587901961971679,-0.5948804369648504,-0.2625095676486806,0.011250970456082691,-0.01191757615937885,-0.005336392222904906,-0.757666023690269,-0.6133382316553648,-0.2549479650377495,0.01123156675332121,-0.0118280517631437,-0.005114815968342101,-0.7451367062897821,-0.6078223724987059,-0.2694965573653778,0.01138831351094323,-0.01194093364807885,-0.005021294303893866
849,2461874.225,0.001051678528755054,-0.002560643461039347,-0.001066403621777227,-0.9223214517453164,-0.3609524420886098,-0.1564122332899359,-0.7585088513201901,-0.5951783212982428,-0.2626429531465256,0.01125661935987078,-0.01191317013770754,-0.005334447437122863,-0.7573851657365378,-0.6136338775534694,-0.2550758124103282,0.0112370692052375,-0.011823619727973241,-0.005112973683466336,-0.7448519289634347,-0.6081208394513578,-0.2696220647150462,0.01139387223747822,-0.01193642219792068,-0.005019293515717336
850,2461874.25,0.001051724254211051,-0.002560520494365863,-0.0010663518628096962,-0.9221609096005544,-0.3613171383105935,-0.1565703329715514,-0.7582273652462925,-0.5954760954530239,-0.2627762900121598,0.01126226620948287,-0.011908761870616997,-0.005332501646103721,-0.757104170247008,-0.6139294126239043,-0.2552036137141996,0.01124256961703279,-0.011819185549702179,-0.005111130471811336,-0.7445670126958808,-0.6084191935902981,-0.2697475220334723,0.0113994288072999,-0.01193190855130985,-0.005017291804574397
851,2461874.275,0.0010517699731786411,-0.002560397526880302,-0.001066300103335392,-0.9220001984621194,-0.3616817695587535,-0.1567284045684529,-0.7579457380268431,-0.5957737593730685,-0.2629095782204567,0.01126791100383314,-0.011904351358902821,-0.005330554850198457,-0.7568230372726953,-0.6142248368131019,-0.2553313689261984,0.011248067987728459,-0.01181474922912288,-0.005109286333706501,-0.7442819575410508,-0.6087174348606267,-0.2698729292975868,0.01140498321938978,-0.0119273927091227,-0.0050152891708530505
852,2461874.3,0.0010518156856576882,-0.002560274558582971,-0.001066248343354373,-0.9218393183570918,-0.3620463357692945,-0.1568864480525467,-0.7576639697132371,-0.5960713130022706,-0.2630428177462986,0.01127355374183615,-0.01189993860336103,-0.005328607049758248,-0.756541766864639,-0.6145201500675144,-0.2554590780231673,0.011253564316346271,-0.01181031076702808,-0.005107441269481393,-0.7439967635529008,-0.6090155632074651,-0.26999828648433,0.01141053547272984,-0.01192287467223596,-0.005013285614941467
853,2461874.325,0.001051861391648053,-0.002560151589474177,-0.0010661965828667,-0.9216782693125815,-0.3624108368784006,-0.1570444633957287,-0.7573820603568966,-0.5963687562845446,-0.2631760085645764,0.01127919442240683,-0.01189552360478811,-0.005326658245134469,-0.7562603590739035,-0.614815352333614,-0.2555867409819575,0.011259058601908309,-0.011805870164210879,-0.005105595279465733,-0.7437114307854124,-0.6093135785759567,-0.2701235935706522,0.01141608556630249,-0.011918354441526759,-0.005011281137227983
854,2461874.35,0.0010519070911495939,-0.002560028619554227,-0.0010661448218724301,-0.921517051355727,-0.3627752728222355,-0.1572024505698837,-0.7571000100092711,-0.5966660891638247,-0.26330915065019,0.01128483304446045,-0.011891106363981,-0.0053247084366787,-0.7559788139515772,-0.6151104435578922,-0.2557143577794284,0.01126455084343702,-0.011801427421464741,-0.0051037483639894,-0.7434259592925923,-0.6096114809112669,-0.270248850533513,0.01142163349909056,-0.01191383201787265,-0.005009275738101101
855,2461874.375,0.001051952784162171,-0.0025599056488234267,-0.001066093060371623,-0.9213556645136975,-0.3631396435369426,-0.1573604095468865,-0.756817818721837,-0.596963311584065,-0.263442243978048,0.01129046960691265,-0.011886686881737071,-0.005322757624742718,-0.7556971315487734,-0.6154054236868611,-0.2558419283924476,0.011270041039955221,-0.0117969825395835,-0.00510190052338243,-0.7431403491284729,-0.6099092701585831,-0.27037405734988196,0.01142717927007735,-0.01190930740215155,-0.005007269417949493
856,2461874.4,0.001051998470685639,-0.002559782677282083,-0.0010660412983643358,-0.9211941088136916,-0.3635039489586454,-0.1575183402986008,-0.7565354865460978,-0.5972604234892395,-0.2635752885230678,0.011296104108679459,-0.011882265158854141,-0.005320805809678501,-0.7554153119166294,-0.615700292667052,-0.2559694527978908,0.01127552919048605,-0.01179253551936135,-0.005100051757975021,-0.7428546003471119,-0.6102069462631144,-0.2704992139967385,0.011432722878246579,-0.01190478059524179,-0.005005262177161996
857,2461874.425,0.001052044150719852,-0.0025596597049305013,-0.001065989535850628,-0.9210323842829384,-0.3638681890234471,-0.1576762427968805,-0.7562530135335844,-0.5975574248233424,-0.2637082842601755,0.01130173654867723,-0.01187784119613049,-0.005318852991838229,-0.7551333551063071,-0.6159950504450162,-0.2560969309726424,0.01128101529405303,-0.01178808636159285,-0.005098202068097527,-0.7425687130025925,-0.6105045091700926,-0.2706243204510714,0.011438264322582421,-0.01190025159802211,-0.005003254016127615
858,2461874.45,0.001052089824264663,-0.0025595367317689873,-0.0010659377728305562,-0.9208704909486972,-0.364232363667431,-0.1578341170135687,-0.7559703997358544,-0.5978543155303874,-0.2638412311643061,0.01130736692582271,-0.01187341499436485,-0.005316899171574284,-0.7548512611689929,-0.6162896969673253,-0.2562243628935946,0.01128649934968003,-0.01178363506707295,-0.0050963514540804606,-0.7422826871490232,-0.6108019588247704,-0.2707493766898794,0.01144380360206947,-0.01189572041137163,-0.005001244935235522
859,2461874.475,0.001052135491319921,-0.002559413757797846,-0.001065886009304177,-0.9207084288382577,-0.3645964728266608,-0.1579919629204984,-0.7556876452044927,-0.5981510955544086,-0.2639741292104036,0.01131299523903298,-0.01186898655435637,-0.00531494434923924,-0.7545690301558974,-0.6165842321805702,-0.256351748537648,0.01129198135639125,-0.01177918163659694,-0.005094499916254492,-0.7419965228405379,-0.6110992951724232,-0.2708743826901709,0.01144934071569277,-0.011891187036169879,-0.004999234934875055
860,2461874.5,0.001052181151885477,-0.002559290783017384,-0.001065834245271547,-0.9205461979789415,-0.3649605164371804,-0.1581497804894926,-0.7554047499911112,-0.5984477648394598,-0.2641069783734204,0.01131862148722552,-0.01186455587690468,-0.005312988525185882,-0.7542866621182557,-0.616878656031362,-0.2564790878817116,0.01129746131321129,-0.01177472607096048,-0.005092647454950452,-0.7417102201312958,-0.6113965181583483,-0.2709993384289642,0.01145487566243783,-0.01188665147329679,-0.004997224015435718
861,2461874.525,0.001052226805961176,-0.002559167807427904,-0.001065782480732723,-0.9203837983981004,-0.3653244944350141,-0.158307569692364,-0.7551217141473489,-0.5987443233296151,-0.2642397786283182,0.01132424566931815,-0.01186012296280985,-0.005311031699767187,-0.7540041571073274,-0.6171729684663319,-0.2566063809027026,0.01130293921916505,-0.011770268370959609,-0.005090794070499328,-0.7414237790754817,-0.6116936277278648,-0.271124243883287,0.01146040844129056,-0.01188211372363267,-0.004995212177307183
862,2461874.55,0.001052272453546864,-0.002559044831029712,-0.0010657307156877619,-0.920221230123118,-0.3656884067561669,-0.1584653305009154,-0.7548385377248717,-0.5990407709689684,-0.264372529950067,0.011329867784229059,-0.01185568781287237,-0.0053090738733363365,-0.7537215151743962,-0.6174671694321304,-0.2567336275775465,0.011308415073277841,-0.01176580853739071,-0.005088939763232267,-0.7411371997273055,-0.611990623826314,-0.271249099030177,0.01146593905123733,-0.01187757378805824,-0.004993199420879288
863,2461874.575,0.001052318094642384,-0.002558921853823112,-0.001065678950136718,-0.9200584931814098,-0.3660522533366245,-0.1586230628869396,-0.754555220775373,-0.5993371077016334,-0.2645052323136462,0.0113354878308768,-0.01185125042789322,-0.005307115046246711,-0.7534387363707703,-0.6177612588754283,-0.2568608278831769,0.011313888874575271,-0.01176134657105054,-0.005087084533480572,-0.7408504821410025,-0.612287506399059,-0.2713739038466817,0.01147146749126496,-0.011873031667454629,-0.004991185746542037
864,2461874.6,0.001052363729247577,-0.002558798875808407,-0.001065627184079648,-0.9198955876004224,-0.3664160341123533,-0.1587807668222197,-0.7542717633505726,-0.5996333334717443,-0.2646378856940435,0.0113411058081803,-0.01184681080867379,-0.005305155218851889,-0.7531558207477823,-0.6180552367429165,-0.2569879817965359,0.01131936062208335,-0.01175688247273624,-0.005085228381575705,-0.7405636263708334,-0.6125842753914855,-0.2714986583098581,0.01147699376036069,-0.01186848736270333,-0.0049891711546856
